package,in_degree,out_degree,betweenness,is_topN,dependents_count,downloads,rank
@tokenizer/token,1,0,0.000000,False,69519,39035327,0
@tootallnate/once,0,0,0.000000,True,1584397,144184905,1745
@types/aria-query,1,0,0.000000,False,1229544,91049634,0
@types/babel__core,2,5,0.000100,True,1905481,171255579,1334
@types/babel__generator,1,1,0.000000,True,1904638,177967653,1335
@types/babel__template,1,2,0.000000,True,1904343,171672741,1336
@types/babel__traverse,1,1,0.000000,True,1905607,176246772,1333
@types/body-parser,1,2,0.000000,True,1492415,133109792,1902
@types/bonjour,1,1,0.000000,False,967710,43645484,0
@types/connect,1,1,0.000000,True,1498356,109908397,1797
@types/connect-history-api-fallback,1,2,0.000000,False,1071944,47705873,0
@types/cors,1,1,0.000000,False,459469,54958097,0
@types/eslint,2,2,0.000000,True,1741976,113374649,1532
@types/eslint-scope,1,4,0.000000,False,1270808,92469632,0
@types/esrecurse,1,0,0.000000,False,0,171114,0
@types/estree,7,0,0.000000,True,1849638,331538814,1361
@types/express,2,3,0.000000,True,1528059,151008766,1782
@types/express-serve-static-core,3,4,0.000000,True,1503898,173229922,1796
@types/glob,0,1,0.000000,True,2055129,66072578,1160
@types/graceful-fs,0,1,0.000000,True,1747353,117422963,1528
@types/html-minifier-terser,1,0,0.000000,True,1431560,47101977,1941
@types/http-errors,1,0,0.000000,False,473594,109972059,0
@types/http-proxy,1,1,0.000067,False,1241955,64319555,0
@types/istanbul-lib-coverage,4,0,0.000000,True,1996416,144905198,1195
@types/istanbul-lib-report,1,1,0.000000,True,1972820,153103738,1305
@types/istanbul-reports,1,1,0.000033,True,1972747,175281056,1306
@types/jsdom,2,3,0.000000,False,76626,53476429,0
@types/json-schema,4,0,0.000000,True,1742087,252179781,1531
@types/json5,0,1,0.000000,True,1794713,131832855,1385
@types/mime,0,1,0.000000,True,1509678,127467979,1790
@types/minimatch,0,1,0.000000,True,2087826,77469696,1141
@types/node,34,1,0.000067,False,1060374,569923996,0
@types/normalize-package-data,0,0,0.000000,True,1399447,87490666,1961
@types/parse-json,0,1,0.000000,True,1793430,108693072,1386
@types/prettier,0,1,0.000000,True,1748823,56102213,1527
@types/prop-types,0,0,0.000000,True,1478506,116654672,1907
@types/q,1,0,0.000000,True,2619172,28071936,718
@types/qs,1,0,0.000000,True,1515716,138214277,1786
@types/range-parser,1,0,0.000000,True,1490192,121048564,1904
@types/react,0,1,0.000000,True,1507685,202959097,1793
@types/resolve,1,0,0.000000,False,1339219,70880877,0
@types/scheduler,0,0,0.000000,True,1346958,36582253,1994
@types/send,1,1,0.000000,False,542240,146303193,0
@types/serve-index,1,1,0.000000,False,968215,44476379,0
@types/serve-static,2,2,0.000000,True,1504467,139851849,1795
@types/sockjs,1,1,0.000000,False,967144,44414023,0
@types/stack-utils,1,0,0.000000,True,1905659,151236268,1332
@types/tough-cookie,1,0,0.000000,False,111207,92408921,0
@types/trusted-types,1,0,0.000000,False,741693,51222287,0
@types/ws,1,1,0.000000,False,1097014,125505043,0
@types/yargs,1,1,0.000033,True,2009672,305048458,1187
@types/yargs-parser,1,0,0.000000,True,1836231,158084062,1367
@typescript-eslint/eslint-plugin,1,9,0.000000,True,1823066,153836780,1371
@typescript-eslint/experimental-utils,0,1,0.000000,True,1566706,47953862,1755
@typescript-eslint/parser,1,5,0.000000,True,1907734,167009127,1330
@typescript-eslint/project-service,1,3,0.000000,False,0,123111952,0
@typescript-eslint/scope-manager,4,2,0.000000,True,1714452,225717826,1545
@typescript-eslint/tsconfig-utils,2,0,0.000000,False,0,123739271,0
@typescript-eslint/type-utils,1,5,0.000000,False,941724,139419676,0
@typescript-eslint/types,7,0,0.000000,True,1779331,244529630,1511
@typescript-eslint/typescript-estree,3,10,0.000000,True,1892157,249382358,1343
@typescript-eslint/utils,5,4,0.000000,False,944853,188166951,0
@typescript-eslint/visitor-keys,4,2,0.000000,True,1779288,240784576,1512
@ungap/structured-clone,1,0,0.000000,False,2802,139486708,0
@webassemblyjs/ast,7,2,0.000000,True,1625157,128473423,1710
@webassemblyjs/floating-point-hex-parser,1,0,0.000000,True,1625137,124133247,1711
@webassemblyjs/helper-api-error,2,0,0.000000,True,1619368,125837308,1724
@webassemblyjs/helper-buffer,3,0,0.000000,True,1625093,125182557,1717
@webassemblyjs/helper-numbers,1,3,0.000000,False,1255428,103316746,0
@webassemblyjs/helper-wasm-bytecode,5,0,0.000000,True,1625136,117877581,1712
@webassemblyjs/helper-wasm-section,1,4,0.000000,True,1625091,121016106,1719
@webassemblyjs/ieee754,2,1,0.000000,True,1619342,120188446,1725
@webassemblyjs/leb128,2,1,0.000000,True,1625112,121642149,1715
@webassemblyjs/utf8,2,0,0.000000,True,1619061,121526251,1726
@webassemblyjs/wasm-edit,1,8,0.000000,True,1624870,124562154,1720
@webassemblyjs/wasm-gen,3,5,0.000000,True,1625095,124875688,1716
@webassemblyjs/wasm-opt,1,4,0.000000,True,1625092,119561091,1718
@webassemblyjs/wasm-parser,3,6,0.000000,True,1625124,122140735,1714
@webassemblyjs/wast-printer,1,2,0.000000,True,1625131,123587172,1713
@xtuc/ieee754,1,0,0.000000,False,1119262,103830749,0
@xtuc/long,3,0,0.000000,True,1612951,110041560,1731
abab,0,0,0.000000,True,2273720,115668248,955
abbrev,1,0,0.000000,True,3523128,159678491,349
abort-controller,1,1,0.000000,False,593406,120829905,0
accepts,4,2,0.000000,True,1717765,240760806,1543
acorn,5,0,0.000000,False,1121780,557365285,0
acorn-globals,0,2,0.000000,True,2226795,85240401,965
acorn-import-phases,1,0,0.000000,False,0,35105869,0
acorn-jsx,1,0,0.000000,False,817417,229161959,0
acorn-walk,1,1,0.000000,True,2651754,238818610,706
address,2,0,0.000000,True,1880434,44769617,1350
adjust-sourcemap-loader,1,2,0.000000,True,1508724,35376461,1791
agent-base,2,0,0.000000,True,1575522,471383955,1749
aggregate-error,0,2,0.000000,True,1838394,136071232,1366
ajv,5,4,0.000000,False,1087714,670664030,0
ajv-formats,1,1,0.000000,False,1124792,191934025,0
ajv-keywords,1,1,0.000000,False,9177,254457618,0
alphanum-sort,0,0,0.000000,True,2166092,11360199,992
anser,1,0,0.000000,False,340353,19123149,0
ansi-colors,0,0,0.000000,True,3150703,153364741,397
ansi-escapes,3,1,0.000033,False,825237,315537190,0
ansi-html,0,0,0.000000,True,2414385,26543873,797
ansi-html-community,1,0,0.000000,False,1141321,60878808,0
ansi-regex,1,0,0.000000,False,1239008,1170402089,0
ansi-styles,2,0,0.000000,False,1274606,1847943178,0
anymatch,1,2,0.000033,False,1149091,295397727,0
aproba,1,0,0.000000,True,3902120,87612040,300
are-we-there-yet,1,0,0.000000,True,3119265,77830417,502
argparse,1,0,0.000000,False,1075818,585443950,0
aria-query,2,0,0.000000,True,2081790,210582199,1142
array-buffer-byte-length,3,2,0.000000,False,556174,178865029,0
array-find-index,1,0,0.000000,False,1283983,26505833,0
array-flatten,1,0,0.000000,True,4097259,169801813,176
array-includes,4,8,0.000000,True,1681276,165256096,1560
array-union,0,0,0.000000,True,3770523,210682659,326
array-uniq,0,0,0.000000,True,2875330,41005119,555
array-unique,1,0,0.000000,False,696961,68588836,0
array.prototype.findlast,1,6,0.000000,False,194,88942482,0
array.prototype.findlastindex,1,7,0.000000,False,335321,107811215,0
array.prototype.flat,2,4,0.000000,True,1494153,160416192,1900
array.prototype.flatmap,3,4,0.000000,True,1396604,146716886,1962
array.prototype.reduce,1,8,0.000000,False,626282,27052883,0
array.prototype.tosorted,1,5,0.000000,False,525562,99691936,0
arraybuffer.prototype.slice,1,7,0.000000,False,536531,160200533,0
arrify,0,0,0.000000,True,2398973,131870741,905
asap,1,0,0.000000,True,2638377,105990904,711
assign-symbols,1,0,0.000000,False,871923,52745651,0
ast-types-flow,1,0,0.000000,True,2035986,81294798,1179
astral-regex,0,0,0.000000,True,2279822,108357715,952
async,2,0,0.000000,False,926631,307059637,0
async-function,1,0,0.000000,False,1,103552361,0
asynckit,1,0,0.000000,True,1640325,268157229,1591
atob,1,0,0.000000,False,1169690,67690805,0
autoprefixer,1,6,0.000000,True,3254905,132356207,384
available-typed-arrays,3,1,0.000017,False,895160,215224142,0
axe-core,1,0,0.000000,False,1185064,104923841,0
axobject-query,1,0,0.000000,True,2039445,102186520,1176
babel-eslint,0,6,0.000000,True,1742519,18196123,1530
babel-jest,2,7,0.001087,True,2106569,147098859,1125
babel-loader,1,1,0.000000,True,2966700,89203564,529
babel-plugin-dynamic-import-node,0,1,0.000000,True,2991665,24562070,527
babel-plugin-istanbul,2,5,0.000466,True,2192806,163202620,982
babel-plugin-jest-hoist,1,1,0.000000,True,2068177,154608508,1151
babel-plugin-macros,1,3,0.000000,True,1650407,90207186,1576
babel-plugin-named-asset-import,1,0,0.000000,True,1370945,13870357,1978
babel-plugin-polyfill-corejs2,2,3,0.000000,True,1375971,117027221,1975
babel-plugin-polyfill-corejs3,2,2,0.000000,True,1376235,134321688,1974
babel-plugin-polyfill-regenerator,2,1,0.000000,True,1376262,114878265,1973
babel-plugin-syntax-object-rest-spread,0,0,0.000000,True,1341825,9718547,1998
babel-plugin-transform-react-remove-prop-types,1,0,0.000000,True,1495127,20333760,1799
babel-preset-current-node-syntax,2,15,0.000499,False,1121475,136156107,0
babel-preset-jest,1,2,0.000299,True,2070113,156192945,1148
babel-preset-react-app,2,17,0.000000,True,1427302,18411151,1946
babel-runtime,1,2,0.000000,True,2121303,43247540,1114
babel-types,0,4,0.000000,True,1362799,18594830,1983
babylon,0,0,0.000000,True,1883337,29612558,1349
base64-js,1,0,0.000000,True,1564057,263528528,1757
base64id,2,0,0.000000,False,1236685,34265081,0
baseline-browser-mapping,1,0,0.000000,False,0,126983169,0
batch,1,0,0.000000,True,3143451,60471694,398
bfj,1,4,0.000000,False,1048105,18499923,0
bidi-js,1,1,0.000000,False,7050,18683818,0
binary-extensions,1,0,0.000000,False,1114196,246377240,0
body-parser,1,9,0.000000,True,1711280,229404433,1546
bonjour,0,6,0.000000,True,2475687,11555105,777
bonjour-service,1,2,0.000000,False,759269,44607006,0
boolbase,2,0,0.000000,True,3068155,124628581,511
braces,1,1,0.000200,False,1237028,410156307,0
browser-process-hrtime,1,0,0.000000,True,2037289,45870283,1178
browserslist,16,5,0.000200,True,4076082,351481983,179
bser,1,1,0.000033,False,992341,140756042,0
buffer,1,2,0.000000,True,1513316,396873959,1788
buffer-from,1,0,0.000000,False,945125,245895329,0
buffer-indexof,1,0,0.000000,True,2477321,11120858,776
bundle-name,1,1,0.000000,False,61806,58656267,0
bytes,3,0,0.000000,False,1080038,273079250,0
cacheable,1,5,0.000000,False,5,11645598,0
call-bind,36,4,0.000120,False,909951,279195315,0
call-bind-apply-helpers,4,2,0.000007,False,0,281741119,0
call-bound,41,2,0.000000,False,0,238621068,0
call-me-maybe,1,0,0.000000,True,1405360,40769730,1956
caller-callsite,0,1,0.000000,True,2393679,28518200,910
callsites,3,0,0.000000,False,1012134,316645969,0
camel-case,1,1,0.000000,True,2493883,95778638,772
camelcase,5,0,0.000000,True,4809686,498161992,118
camelcase-keys,0,4,0.000000,True,1363994,75532417,1981
caniuse-api,3,4,0.000000,True,2639534,51949206,708
caniuse-lite,3,0,0.000000,True,4039789,319333409,186
case-sensitive-paths-webpack-plugin,1,0,0.000000,True,1869888,35585767,1355
chalk,28,0,0.000000,False,1291351,1487937440,0
check-types,1,0,0.000000,False,1105180,20373599,0
chokidar,2,1,0.000000,False,1116315,399228854,0
chownr,1,0,0.000000,True,3832022,253524725,305
chrome-trace-event,1,0,0.000000,False,1195361,115469312,0
ci-info,4,0,0.000000,True,3193954,348648474,392
cidr-tools,1,1,0.000000,False,35,269445,0
cjs-module-lexer,1,0,0.000000,False,900252,185517308,0
clean-css,1,1,0.000000,True,2829869,73806288,570
clean-stack,1,2,0.000000,True,1858195,153107209,1358
cliui,1,3,0.000000,True,4471191,533389535,130
clone,0,0,0.000000,True,1981870,186061672,1300
clone-deep,1,3,0.000000,True,2208537,85966629,973
co,2,0,0.000000,True,1566701,133285420,1756
coa,0,3,0.000000,True,2561415,25464181,760
code-point-at,0,0,0.000000,True,3327025,41056904,374
collect-v8-coverage,3,0,0.000000,False,1035389,123932277,0
color,0,2,0.000000,True,2379350,141449060,917
color-convert,1,1,0.000000,False,1246711,919955979,0
color-name,2,0,0.000000,False,1252925,927371925,0
color-string,1,1,0.000000,True,2384106,128227660,914
color-support,1,0,0.000000,False,680554,61864977,0
colord,2,0,0.000000,False,935521,56153384,0
colorette,2,0,0.000000,True,1727690,196009580,1535
combined-stream,1,1,0.000000,True,2188156,290439836,985
commander,3,0,0.000000,False,1082389,969616053,0
common-path-prefix,1,0,0.000000,False,785447,38064810,0
common-tags,1,0,0.000000,True,1658574,69677007,1569
commondir,0,0,0.000000,True,1447358,113449890,1921
component-emitter,2,0,0.000000,False,567483,102447628,0
compressible,1,1,0.000000,True,3417401,99450416,368
compression,1,7,0.000000,True,3408251,102311855,369
confusing-browser-globals,1,0,0.000000,True,1644562,51400336,1588
connect-history-api-fallback,1,0,0.000000,True,3115839,61372052,503
console-control-strings,2,0,0.000000,True,2830527,66475013,568
content-disposition,1,0,0.000000,True,4222637,230887581,163
content-type,3,0,0.000000,True,1866290,194036666,1356
convert-hrtime,1,0,0.000000,False,110054,12853500,0
convert-source-map,4,0,0.000000,True,4241143,425800332,160
cookie,3,0,0.000000,True,2444047,347834643,783
cookie-signature,1,0,0.000000,True,4104495,217968783,175
copy-descriptor,1,0,0.000000,False,968762,42125639,0
core-js,2,0,0.000000,True,3461376,186789120,358
core-js-compat,2,1,0.000000,True,3132941,137164579,501
core-js-pure,2,0,0.000000,True,1859896,58724202,1357
core-util-is,0,0,0.000000,True,1693704,254585579,1557
cors,2,2,0.000000,False,935233,102919721,0
cosmiconfig,5,4,0.000000,True,3498872,320812978,351
cross-spawn,3,3,0.000000,True,1924489,470066630,1320
crypto-random-string,1,1,0.000000,True,1704297,81357982,1550
css,0,3,0.000000,True,1701589,19958943,1553
css-blank-pseudo,1,1,0.000000,True,1598254,25672539,1739
css-color-names,1,0,0.000000,True,2145808,13635810,999
css-declaration-sorter,1,0,0.000000,True,2416879,53220869,794
css-has-pseudo,1,3,0.000000,True,1598265,25382588,1738
css-loader,1,8,0.000000,True,2855781,94171080,561
css-minimizer-webpack-plugin,1,6,0.000000,False,842807,27741228,0
css-prefers-color-scheme,1,0,0.000000,True,1598749,26942949,1737
css-select,2,5,0.000000,True,3051138,167989123,517
css-select-base-adapter,0,0,0.000000,True,2352285,22238921,925
css-selector-tokenizer,0,2,0.000000,True,1376465,9518939,1972
css-tree,4,2,0.000000,True,2569508,200842180,756
css-what,2,0,0.000000,True,3053195,153653834,516
cssdb,1,0,0.000000,True,1632110,26184634,1595
cssesc,3,0,0.000000,True,3326249,168619919,375
cssnano,2,2,0.000000,True,2638841,56412113,710
cssnano-preset-default,1,30,0.000000,True,2415585,54090171,795
cssnano-util-get-arguments,0,0,0.000000,True,1871519,8710327,1352
cssnano-util-get-match,0,0,0.000000,True,1871280,8953711,1353
cssnano-util-raw-cache,0,1,0.000000,True,1871573,8942341,1351
cssnano-util-same-parent,0,0,0.000000,True,1871199,8852701,1354
cssnano-utils,5,0,0.000000,False,924804,41253950,0
csso,1,1,0.000000,True,2739126,78434123,588
cssom,0,0,0.000000,True,2147832,153749646,998
cssstyle,1,3,0.000000,True,2139294,146061130,1105
csstype,1,0,0.000000,True,1653899,221438164,1574
currently-unhandled,0,1,0.000000,True,1558373,19941347,1761
damerau-levenshtein,1,0,0.000000,True,2038337,84029844,1177
data-uri-to-buffer,1,0,0.000000,False,371709,139684492,0
data-urls,1,2,0.000000,True,2055878,150223271,1159
data-view-buffer,1,3,0.000000,False,0,147619999,0
data-view-byte-length,1,3,0.000000,False,0,142247704,0
data-view-byte-offset,1,3,0.000000,False,0,155204853,0
date-now,0,0,0.000000,True,1390105,6744848,1965
debug,34,1,0.000067,True,1419208,1769229017,1951
decamelize,0,0,0.000000,True,3884987,183688539,301
decimal.js,1,0,0.000000,False,957978,135557840,0
decode-uri-component,2,0,0.000000,False,935386,83952604,0
dedent,1,0,0.000000,False,1040009,161280696,0
deep-equal,1,18,0.000000,True,2827902,96487511,572
deep-extend,1,0,0.000000,True,2907130,109254897,541
deep-is,1,0,0.000000,True,1547348,254102865,1769
deepmerge,4,0,0.000000,True,1558107,199839813,1762
default-browser,1,2,0.000000,False,61814,57209567,0
default-browser-id,1,0,0.000000,False,26689,66853322,0
default-gateway,1,1,0.000000,True,2735340,41998570,589
define-data-property,6,3,0.000000,False,381261,229811941,0
define-lazy-prop,1,0,0.000000,False,1174541,171722835,0
define-properties,29,3,0.000067,False,6903,240307273,0
define-property,5,2,0.000000,False,968223,266588423,0
defined,0,0,0.000000,True,1619645,18935872,1723
del,0,7,0.000000,True,2889986,54015459,548
delayed-stream,1,0,0.000000,True,2188097,290831914,986
delegates,0,0,0.000000,True,2863488,70479220,559
depd,2,0,0.000000,True,2556983,313478263,762
destroy,0,0,0.000000,True,4522290,169830106,128
detect-libc,1,0,0.000000,True,2309281,235483086,941
detect-newline,1,0,0.000000,True,2109804,149272335,1124
detect-node,1,0,0.000000,True,2961651,75652621,530
detect-port-alt,1,2,0.000000,True,1528523,19217193,1781
diff,0,0,0.000000,True,1554502,277694404,1766
diff-sequences,0,0,0.000000,True,1907072,181391321,1331
dir-glob,0,1,0.000000,True,3220445,185465105,389
dns-equal,1,0,0.000000,True,2899979,18607315,545
dns-packet,1,1,0.000000,True,2905460,58600907,542
dns-txt,1,1,0.000000,True,2469901,11297850,778
doctrine,2,1,0.000000,True,1377829,349124974,1970
dom-accessibility-api,1,0,0.000000,False,935172,153150118,0
dom-converter,1,1,0.000000,True,2251614,47239936,960
dom-serializer,1,3,0.000000,True,3228474,219521139,388
domelementtype,4,0,0.000000,True,3231030,192142758,386
domexception,0,1,0.000000,True,2042348,87866581,1175
domhandler,4,1,0.000000,True,2836242,230413910,566
domutils,2,3,0.000000,True,3228971,244060573,387
dot-prop,0,1,0.000000,True,2793438,111585845,585
dotenv,2,0,0.000000,False,1228719,292430919,0
dotenv-expand,1,1,0.000000,True,1979847,93693523,1303
dunder-proto,3,3,0.000000,False,0,302204912,0
duplexer,1,0,0.000000,True,2218742,83155971,969
ee-first,1,0,0.000000,True,2438994,202083559,784
ejs,1,1,0.000000,True,1532080,92007261,1778
electron-to-chromium,1,0,0.000000,True,4040409,342550217,185
emittery,2,0,0.000000,False,1127445,147050253,0
emoji-regex,1,0,0.000000,True,4193583,978833230,164
encodeurl,4,0,0.000000,True,2318351,343305904,935
engine.io,1,9,0.000000,False,1213452,36847677,0
engine.io-parser,1,0,0.000000,False,1253645,48116841,0
enhanced-resolve,1,2,0.000000,False,5366,208369945,0
entities,5,0,0.000000,True,3284033,427708347,381
env-paths,1,0,0.000000,False,621208,134815637,0
environment,1,0,0.000000,False,19,58366554,0
error-stack-parser,1,1,0.000000,True,1411254,66663244,1954
es-abstract,17,54,0.002675,False,6024,231903505,0
es-array-method-boxes-properly,1,0,0.000000,False,711197,35600043,0
es-define-property,5,0,0.000000,False,0,339164039,0
es-errors,33,0,0.000000,False,0,312294991,0
es-get-iterator,1,9,0.000000,False,414731,51432262,0
es-iterator-helpers,1,16,0.000000,False,360050,97026475,0
es-module-lexer,1,0,0.000000,False,785030,166591403,0
es-object-atoms,20,1,0.000000,False,0,288885076,0
es-set-tostringtag,3,4,0.000008,False,617921,264789126,0
es-shim-unscopables,5,1,0.000000,False,910421,143385390,0
es-to-primitive,1,3,0.000067,False,5928,198728546,0
escalade,2,0,0.000000,True,2368706,340087210,919
escape-html,5,0,0.000000,True,2500873,205714593,769
escape-string-regexp,4,0,0.000000,True,2044639,746494839,1174
escodegen,1,4,0.000000,True,2366133,171585969,922
eslint,1,34,0.000000,True,1569244,287809753,1754
eslint-config-react-app,1,14,0.000000,True,1496796,17864017,1798
eslint-import-resolver-node,1,3,0.000000,False,1043128,130020483,0
eslint-module-utils,1,1,0.000000,False,1202837,144826509,0
eslint-plugin-flowtype,1,2,0.000000,True,1608411,21096747,1734
eslint-plugin-import,1,19,0.000000,False,1100517,148189997,0
eslint-plugin-jest,1,1,0.000000,False,844544,58098830,0
eslint-plugin-jsx-a11y,1,15,0.000000,True,1763949,89699258,1525
eslint-plugin-react,1,18,0.000000,True,2003502,126788611,1190
eslint-plugin-react-hooks,1,5,0.000000,True,1658186,77956998,1570
eslint-plugin-testing-library,1,2,0.000000,False,882866,30877021,0
eslint-scope,3,2,0.000000,True,1592057,430605098,1741
eslint-utils,0,1,0.000000,True,2601363,90495108,744
eslint-visitor-keys,8,0,0.000000,True,1431349,603771380,1942
eslint-webpack-plugin,1,6,0.000000,False,683812,17334733,0
espree,2,3,0.000000,True,1372452,310625048,1977
esprima,2,0,0.000000,True,1541066,294718229,1773
esquery,1,1,0.000000,True,1409814,239958238,1955
esrecurse,1,1,0.000000,True,1702132,247113774,1552
estraverse,5,0,0.000000,True,1803046,496099891,1381
estree-walker,1,1,0.000000,False,1169599,220477418,0
esutils,5,0,0.000000,True,1790196,280319272,1391
etag,2,0,0.000000,True,4534857,195935698,127
event-target-shim,1,0,0.000000,False,637867,124402918,0
eventemitter3,1,0,0.000000,True,1773097,234643729,1515
events,2,0,0.000000,False,1326229,211021898,0
eventsource,1,1,0.000000,True,2367077,55729770,921
eventsource-parser,1,0,0.000000,False,7448,45559341,0
exec-sh,1,0,0.000000,False,423359,23350307,0
execa,2,12,0.000000,False,932013,429617762,0
exit,0,0,0.000000,True,2586560,116043986,753
exit-x,4,0,0.000000,False,0,23310158,0
expand-brackets,1,4,0.000000,False,696484,61112404,0
expect,2,6,0.000000,True,2030888,182884935,1180
express,1,27,0.000000,True,1853938,225484542,1359
extend-shallow,3,2,0.000000,False,931824,278814402,0
extglob,0,8,0.000000,True,3940381,60502340,198
fast-deep-equal,4,0,0.000000,True,4968905,350162413,112
fast-glob,2,5,0.000000,True,3211568,339027273,390
fast-json-stable-stringify,3,0,0.000000,True,4957551,289585652,113
fast-levenshtein,1,1,0.000000,True,1506124,254193931,1794
fast-uri,1,0,0.000000,False,8302,154382362,0
fastest-levenshtein,1,0,0.000000,False,376705,70761252,0
fastparse,1,0,0.000000,False,1070284,11659537,0
